city_name,year,month,price
Changsha,2021,12,10705
Changsha,2022,1,10969
Changsha,2022,2,11248
Changsha,2022,3,11196
Changsha,2022,4,11282
Changsha,2022,5,11957
Changsha,2022,6,11517
Changsha,2022,7,11638
Changsha,2022,8,11495
Changsha,2022,9,11666
Changsha,2022,10,11477
Changsha,2022,11,11766
Changsha,2022,12,11804
Changsha,2023,1,12450
Changsha,2023,2,11886
Changsha,2023,3,12074
Changsha,2023,4,11616
Changsha,2023,5,11756
Changsha,2023,6,11740
Changsha,2023,7,11747
Changsha,2023,8,11224
Changsha,2023,9,11050
Changsha,2023,10,11154
Changsha,2023,11,11080
Changsha,2023,12,11138
Changsha,2024,1,11302
Changsha,2024,2,11027
Changsha,2024,3,11180
Changsha,2024,4,11040
Changsha,2024,5,10903
Changsha,2024,6,10893
Changsha,2024,7,10919
Changsha,2024,8,10876
Changsha,2024,9,10632
Changsha,2024,10,10607
Changsha,2024,11,10842
Changsha,2024,12,11013
Chengdu,2015,1,8281
Chengdu,2015,2,8258
Chengdu,2015,3,8247
Chengdu,2015,4,8233
Chengdu,2015,5,8253
Chengdu,2015,6,8254
Chengdu,2015,7,8240
Chengdu,2015,8,8254
Chengdu,2015,9,8258
Chengdu,2015,10,8248
Chengdu,2015,11,8238
Chengdu,2015,12,8221
Chengdu,2016,1,8246
Chengdu,2016,2,8220
Chengdu,2016,3,8259
Chengdu,2016,4,8254
Chengdu,2016,5,8270
Chengdu,2016,6,8400
Chengdu,2016,7,8214
Chengdu,2016,8,8151
Chengdu,2016,9,8191
Chengdu,2016,10,8279
Chengdu,2016,11,8532
Chengdu,2016,12,8599
Chengdu,2017,1,8682
Chengdu,2017,2,8706
Chengdu,2017,3,9033
Chengdu,2017,4,9412
Chengdu,2017,5,9645
Chengdu,2017,6,9848
Chengdu,2017,7,10001
Chengdu,2017,8,10186
Chengdu,2017,9,10563
Chengdu,2017,10,11069
Chengdu,2017,11,11618
Chengdu,2017,12,12035
Chengdu,2018,1,13135
Chengdu,2018,2,13500
Chengdu,2018,3,14120
Chengdu,2018,4,14621
Chengdu,2018,5,14847
Chengdu,2018,6,15413
Chengdu,2018,7,15373
Chengdu,2018,8,15443
Chengdu,2018,9,15943
Chengdu,2018,10,15422
Chengdu,2018,11,15480
Chengdu,2018,12,15583
Chengdu,2019,1,15283
Chengdu,2019,2,15804
Chengdu,2019,3,15914
Chengdu,2019,4,15772
Chengdu,2019,5,15512
Chengdu,2019,6,15604
Chengdu,2019,7,15413
Chengdu,2019,8,15522
Chengdu,2019,9,15573
Chengdu,2019,10,15631
Chengdu,2019,11,15732
Chengdu,2019,12,15635
Chengdu,2020,1,15278
Chengdu,2020,2,16247
Chengdu,2020,3,15311
Chengdu,2020,4,15261
Chengdu,2020,5,15053
Chengdu,2020,6,16119
Chengdu,2020,7,16756
Chengdu,2020,8,16052
Chengdu,2020,9,16988
Chengdu,2020,10,17653
Chengdu,2020,11,16756
Chengdu,2020,12,16941
Chengdu,2021,1,17910
Chengdu,2021,2,17079
Chengdu,2021,3,17831
Chengdu,2021,4,18124
Chengdu,2021,5,19153
Chengdu,2021,6,19051
Chengdu,2021,7,18708
Chengdu,2021,8,17477
Chengdu,2021,9,17283
Chengdu,2021,10,17041
Chengdu,2021,11,17277
Chengdu,2021,12,16532
Chengdu,2022,1,16300
Chengdu,2022,2,17148
Chengdu,2022,3,19409
Chengdu,2022,4,17955
Chengdu,2022,5,16813
Chengdu,2022,6,17391
Chengdu,2022,7,17249
Chengdu,2022,8,17318
Chengdu,2022,9,16666
Chengdu,2022,10,16497
Chengdu,2022,11,17060
Chengdu,2022,12,16944
Chengdu,2023,1,16987
Chengdu,2023,2,17512
Chengdu,2023,3,16457
Chengdu,2023,4,16255
Chengdu,2023,5,17267
Chengdu,2023,6,17492
Chengdu,2023,7,19448
Chengdu,2023,8,16879
Chengdu,2023,9,16727
Chengdu,2023,10,16897
Chengdu,2023,11,17002
Chengdu,2023,12,17303
Chengdu,2024,1,19334
Chengdu,2024,2,19026
Chengdu,2024,3,18197
Chengdu,2024,4,19308
Chengdu,2024,5,18179
Chengdu,2024,6,17714
Chengdu,2024,7,17430
Chengdu,2024,8,16996
Chengdu,2024,9,17291
Chengdu,2024,10,17427
Chengdu,2024,11,16273
Chengdu,2024,12,15555
Chongqing,2015,1,6440
Chongqing,2015,2,6455
Chongqing,2015,3,6442
Chongqing,2015,4,6429
Chongqing,2015,5,6440
Chongqing,2015,6,6477
Chongqing,2015,7,6441
Chongqing,2015,8,6429
Chongqing,2015,9,6401
Chongqing,2015,10,6366
Chongqing,2015,11,6343
Chongqing,2015,12,6295
Chongqing,2016,1,7113
Chongqing,2016,2,7106
Chongqing,2016,3,7074
Chongqing,2016,4,7119
Chongqing,2016,5,7186
Chongqing,2016,6,6967
Chongqing,2016,7,6955
Chongqing,2016,8,6972
Chongqing,2016,9,7026
Chongqing,2016,10,7066
Chongqing,2016,11,7139
Chongqing,2016,12,7500
Chongqing,2017,1,7611
Chongqing,2017,2,7769
Chongqing,2017,3,7967
Chongqing,2017,4,8451
Chongqing,2017,5,8810
Chongqing,2017,6,9142
Chongqing,2017,7,9341
Chongqing,2017,8,9475
Chongqing,2017,9,9643
Chongqing,2017,10,9771
Chongqing,2017,11,9865
Chongqing,2017,12,9934
Chongqing,2018,1,11138
Chongqing,2018,2,11675
Chongqing,2018,3,11149
Chongqing,2018,4,11510
Chongqing,2018,5,11768
Chongqing,2018,6,11994
Chongqing,2018,7,12413
Chongqing,2018,8,12542
Chongqing,2018,9,13572
Chongqing,2018,10,12941
Chongqing,2018,11,12803
Chongqing,2018,12,12713
Chongqing,2019,1,12404
Chongqing,2019,2,12363
Chongqing,2019,3,12730
Chongqing,2019,4,12663
Chongqing,2019,5,12622
Chongqing,2019,6,12513
Chongqing,2019,7,12552
Chongqing,2019,8,12522
Chongqing,2019,9,12681
Chongqing,2019,10,12382
Chongqing,2019,11,12370
Chongqing,2019,12,12264
Chongqing,2020,1,11487
Chongqing,2020,2,12364
Chongqing,2020,3,11668
Chongqing,2020,4,12182
Chongqing,2020,5,12192
Chongqing,2020,6,11826
Chongqing,2020,7,11961
Chongqing,2020,8,11597
Chongqing,2020,9,12216
Chongqing,2020,10,12421
Chongqing,2020,11,11638
Chongqing,2020,12,12366
